2018/10/ 2 Aircraft: ['Dornier Do 228']                      , Dep:   SCOH, Arr:   SAWT, Flight Time: 00:16:01, Errors:   1, Landing: A,    90 ft/min,  1.20g,   0 bounce(s)
2018/10/ 2 Aircraft: ['Dornier Do 228']                      , Dep:   SAWT, Arr:   SAWA, Flight Time: 00:08:24, Errors:   5, Landing: C,   178 ft/min,  2.6 g,   0 bounce(s)
2018/10/ 2 Aircraft: ['AB 412']                              , Dep:   7S13, Arr:   3U91, Flight Time: 00:07:38, Errors:   6, Landing: B,    47 ft/min,  1.87g,   2 bounce(s)
2018/10/ 2 Aircraft: ['AB 412']                              , Dep:   3U91, Arr:   9S52, Flight Time: 00:04:14, Errors:   4, Landing: B,   101 ft/min,  1.50g,   0 bounce(s)
2018/10/ 6 Aircraft: ['Dornier Do 228']                      , Dep:   SAWA, Arr:   SCOH, Flight Time: 00:16:41, Errors:   0, Landing: B,   100 ft/min,  1.11g,   0 bounce(s)
2018/10/ 6 Aircraft: ['Dornier Do 228']                      , Dep:   SCOH, Arr:   SCHR, Flight Time: 00:32:48, Errors:   1, Landing: A,    41 ft/min,  1.11g,   0 bounce(s)
2018/10/ 6 Aircraft: ['Dornier Do 228']                      , Dep:   SCHR, Arr:   SCAS, Flight Time: 00:12:14, Errors:   0, Landing: B,   110 ft/min,  1.28g,   0 bounce(s)
2018/10/ 8 Aircraft: ['Dornier Do 328-110']                  , Dep:   MT69, Arr:   KHLN, Flight Time: 00:03:34, Errors:   3, Landing: F,   543 ft/min,  1.90g,   0 bounce(s)
2018/10/ 8 Aircraft: ['Dornier Do 328-110']                  , Dep:   KHLN, Arr:   MT69, Flight Time: 00:04:49, Errors:   1, Landing: C,   379 ft/min,  1.60g,   0 bounce(s)
2018/10/ 8 Aircraft: ['Dornier Do 328-110']                  , Dep:   MT69, Arr:   KHLN, Flight Time: 00:13:39, Errors:   1, Landing: C,   309 ft/min,  1.29g,   0 bounce(s)
2018/10/ 8 Aircraft: ['Dornier Do 328-110']                  , Dep:   KHLN, Arr:   MT69, Flight Time: 00:19:31, Errors:   2, Landing: F,   739 ft/min,  2.2 g,   1 bounce(s)
2018/10/10 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   LSZH, Arr:   LKMH, Flight Time: 01:04:57, Errors:  11, Landing: B,   163 ft/min,  1.34g,   1 bounce(s)
2018/10/10 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   LSZH, Arr:   ENBR, Flight Time: 01:10:06, Errors:   5, Landing: B,   172 ft/min,  1.86g,   1 bounce(s)
2018/10/11 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   EGPE, Arr:   LSGG, Flight Time: 00:46:10, Errors:   3, Landing: B,   186 ft/min,  1.80g,   0 bounce(s)
2018/10/15 Aircraft: ['Airbus A330-200 by JARDesign']        , Dep:   CYYR, Arr:   CYYT, Flight Time: 01:20:16, Errors:   7, Landing: B,   177 ft/min,  1.27g,   1 bounce(s)
2018/10/16 Aircraft: ['Airbus A330-200 by JARDesign']        , Dep:   ENBR, Arr:   LSGG, Flight Time: 01:19:27, Errors:   3, Landing: C,   273 ft/min,  1.32g,   1 bounce(s)
2018/10/16 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   LOWW, Arr:   LSGG, Flight Time: 00:50:35, Errors:   1, Landing: D,   410 ft/min,  2.24g,   1 bounce(s)
